T,K,kappa,theta,sigma,price,error,valid_paths
0.3,0.8,0.14,-0.3,0.1,0.201064,0.00148138,10000
0.3,0.8,0.14,-0.3,0.12,0.201261,0.00160113,10000
0.3,0.8,0.14,-0.3,0.13,0.200618,0.00169902,10000
0.3,0.8,0.14,-0.3,0.14,0.200626,0.00172578,10000
0.3,0.8,0.14,-0.3,0.15,0.202429,0.00179748,10000
0.3,0.8,0.14,-0.3,0.16,0.20325,0.00187593,10000
0.3,0.8,0.14,-0.3,0.17,0.203076,0.0019254,10000
0.3,0.8,0.14,-0.3,0.18,0.20268,0.00202366,10000
0.3,0.8,0.14,-0.3,0.19,0.206445,0.00208298,10000
0.3,0.8,0.14,-0.3,0.2,0.205867,0.00215279,10000
0.3,0.8,0.14,-0.27,0.1,0.200712,0.00142373,10000
0.3,0.8,0.14,-0.27,0.12,0.199437,0.0015464,10000
0.3,0.8,0.14,-0.27,0.13,0.200866,0.00163958,10000
0.3,0.8,0.14,-0.27,0.14,0.202616,0.0016654,10000
0.3,0.8,0.14,-0.27,0.15,0.202235,0.00177745,10000
0.3,0.8,0.14,-0.27,0.16,0.201595,0.00183412,10000
0.3,0.8,0.14,-0.27,0.17,0.202867,0.00192699,10000
0.3,0.8,0.14,-0.27,0.18,0.201525,0.001998,10000
0.3,0.8,0.14,-0.27,0.19,0.204775,0.00206073,10000
0.3,0.8,0.14,-0.27,0.2,0.202197,0.00213363,10000
0.3,0.8,0.14,-0.24,0.1,0.200222,0.00135383,10000
0.3,0.8,0.14,-0.24,0.12,0.201404,0.00149618,10000
0.3,0.8,0.14,-0.24,0.13,0.200408,0.00157266,10000
0.3,0.8,0.14,-0.24,0.14,0.201444,0.00164104,10000
0.3,0.8,0.14,-0.24,0.15,0.201599,0.00173492,10000
0.3,0.8,0.14,-0.24,0.16,0.202724,0.00177455,10000
0.3,0.8,0.14,-0.24,0.17,0.201418,0.00190169,10000
0.3,0.8,0.14,-0.24,0.18,0.200835,0.00194893,10000
0.3,0.8,0.14,-0.24,0.19,0.20168,0.0020295,10000
0.3,0.8,0.14,-0.24,0.2,0.202995,0.00212693,10000
0.3,0.8,0.14,-0.21,0.1,0.200092,0.00128949,10000
0.3,0.8,0.14,-0.21,0.12,0.200395,0.00145154,10000
0.3,0.8,0.14,-0.21,0.13,0.199274,0.00154088,10000
0.3,0.8,0.14,-0.21,0.14,0.201094,0.0015761,10000
0.3,0.8,0.14,-0.21,0.15,0.199786,0.00169999,10000
0.3,0.8,0.14,-0.21,0.16,0.202016,0.00176442,10000
0.3,0.8,0.14,-0.21,0.17,0.201797,0.00185186,10000
0.3,0.8,0.14,-0.21,0.18,0.202164,0.00194315,10000
0.3,0.8,0.14,-0.21,0.19,0.201647,0.00202594,10000
0.3,0.8,0.14,-0.21,0.2,0.203981,0.00207999,10000
0.3,0.8,0.14,-0.25,0.1,0.199818,0.00137914,10000
0.3,0.8,0.14,-0.25,0.12,0.20177,0.00147865,10000
0.3,0.8,0.14,-0.25,0.13,0.200236,0.00157944,10000
0.3,0.8,0.14,-0.25,0.14,0.20121,0.00166324,10000
0.3,0.8,0.14,-0.25,0.15,0.201112,0.00173627,10000
0.3,0.8,0.14,-0.25,0.16,0.201226,0.00182731,10000
0.3,0.8,0.14,-0.25,0.17,0.202509,0.00186834,10000
0.3,0.8,0.14,-0.25,0.18,0.201652,0.00195667,10000
0.3,0.8,0.14,-0.25,0.19,0.201781,0.00204526,10000
0.3,0.8,0.14,-0.25,0.2,0.203314,0.00211099,10000
0.3,0.8,0.14,-0.26,0.1,0.200876,0.00140541,10000
0.3,0.8,0.14,-0.26,0.12,0.200746,0.00151883,10000
0.3,0.8,0.14,-0.26,0.13,0.201177,0.00160781,10000
0.3,0.8,0.14,-0.26,0.14,0.201651,0.00169165,10000
0.3,0.8,0.14,-0.26,0.15,0.203814,0.00174152,10000
0.3,0.8,0.14,-0.26,0.16,0.201158,0.00182019,10000
0.3,0.8,0.14,-0.26,0.17,0.202485,0.0019091,10000
0.3,0.8,0.14,-0.26,0.18,0.201114,0.00197401,10000
0.3,0.8,0.14,-0.26,0.19,0.203265,0.00204893,10000
0.3,0.8,0.14,-0.26,0.2,0.204269,0.00214346,10000
0.3,0.8,0.14,-0.35,0.1,0.202234,0.00156983,10000
0.3,0.8,0.14,-0.35,0.12,0.201607,0.00171291,10000
0.3,0.8,0.14,-0.35,0.13,0.201519,0.00176876,10000
0.3,0.8,0.14,-0.35,0.14,0.200201,0.00183174,10000
0.3,0.8,0.14,-0.35,0.15,0.202294,0.00188136,10000
0.3,0.8,0.14,-0.35,0.16,0.203706,0.00193358,10000
0.3,0.8,0.14,-0.35,0.17,0.20415,0.00201517,10000
0.3,0.8,0.14,-0.35,0.18,0.203309,0.00209117,10000
0.3,0.8,0.14,-0.35,0.19,0.203324,0.00213739,10000
0.3,0.8,0.14,-0.35,0.2,0.205835,0.00221542,10000
0.3,0.8,0.14,-0.4,0.1,0.202824,0.00170221,10000
0.3,0.8,0.14,-0.4,0.12,0.204128,0.0017932,10000
0.3,0.8,0.14,-0.4,0.13,0.202774,0.00185195,10000
0.3,0.8,0.14,-0.4,0.14,0.202003,0.00190772,10000
0.3,0.8,0.14,-0.4,0.15,0.202964,0.00195866,10000
0.3,0.8,0.14,-0.4,0.16,0.202591,0.00201201,10000
0.3,0.8,0.14,-0.4,0.17,0.204614,0.00205881,10000
0.3,0.8,0.14,-0.4,0.18,0.203491,0.00213012,10000
0.3,0.8,0.14,-0.4,0.19,0.205266,0.00219219,10000
0.3,0.8,0.14,-0.4,0.2,0.205158,0.00227543,10000
0.3,0.8,0.14,-0.45,0.1,0.204303,0.00182031,10000
0.3,0.8,0.14,-0.45,0.12,0.201686,0.00193273,10000
0.3,0.8,0.14,-0.45,0.13,0.202271,0.00195525,10000
0.3,0.8,0.14,-0.45,0.14,0.202656,0.0019945,10000
0.3,0.8,0.14,-0.45,0.15,0.20409,0.00205195,10000
0.3,0.8,0.14,-0.45,0.16,0.202758,0.00211228,10000
